production_budget_usd,worldwide_gross_usd
6600000.00,828.00
9000000.00,1242.00
9000000.00,2243.00
6500000.00,3149.00
15000000.00,3471.00
26000000.00,5000.00
10000000.00,9069.00
10000000.00,11894.00
7793000.00,12196.00
7500000.00,13524.00
6000000.00,13722.00
9000000.00,14443.00
12000000.00,14616.00
5800000.00,15091.00
21000000.00,17396.00
10000000.00,19716.00
5250000.00,20097.00
46500000.00,22254.00
6840000.00,22273.00
15000000.00,22441.00
15000000.00,22723.00
5500000.00,24956.00
6000000.00,26007.00
5500000.00,28468.00
16000000.00,31631.00
7500000.00,32572.00
6000000.00,36497.00
7000000.00,41038.00
8000000.00,44197.00
10000000.00,45779.00
7000000.00,46488.00
11900000.00,48856.00
6800000.00,49526.00
10000000.00,53559.00
35000000.00,53899.00
5500000.00,56653.00
15000000.00,61847.00
6500000.00,64148.00
5700000.00,69582.00
10000000.00,70527.00
33000000.00,70958.00
45000000.00,73706.00
15000000.00,76382.00
40000000.00,79123.00
11900000.00,81897.00
9000000.00,85527.00
12000000.00,87793.00
6000000.00,90777.00
10000000.00,90909.00
25000000.00,91116.00
16000000.00,94812.00
18000000.00,94953.00
10000000.00,106460.00
10000000.00,109383.00
6000000.00,117796.00
6000000.00,119452.00
9500000.00,119955.00
10500000.00,125169.00
10000000.00,126247.00
8000000.00,127188.00
25000000.00,129115.00
26000000.00,135436.00
8000000.00,143782.00
8000000.00,146083.00
25000000.00,146149.00
9000000.00,148826.00
10000000.00,150191.00
10000000.00,161097.00
13400000.00,164247.00
30000000.00,168832.00
10000000.00,173472.00
12000000.00,178287.00
6000000.00,181798.00
9000000.00,184255.00
12000000.00,196857.00
10000000.00,197901.00
8500000.00,198883.00
10000000.00,200447.00
7500000.00,206400.00
9000000.00,208163.00
15000000.00,214182.00
12000000.00,220175.00
6700000.00,223878.00
18000000.00,229311.00
11000000.00,229653.00
15000000.00,240025.00
10000000.00,241719.00
8000000.00,242788.00
10000000.00,244465.00
10000000.00,247565.00
10000000.00,248133.00
10600000.00,261364.00
14000000.00,266967.00
6000000.00,267194.00
14000000.00,274299.00
20000000.00,277943.00
10000000.00,290875.00
7200000.00,295492.00
10000000.00,295750.00
20000000.00,305070.00
7000000.00,306715.00
18000000.00,309608.00
12000000.00,310946.00
30000000.00,310985.00
18000000.00,315000.00
15500000.00,318623.00
8600000.00,320349.00
17500000.00,325491.00
27000000.00,325943.00
8000000.00,343773.00
9000000.00,349618.00
10000000.00,355919.00
33000000.00,357687.00
10000000.00,360898.00
17000000.00,364607.00
20000000.00,375474.00
7000000.00,382946.00
7000000.00,386744.00
10000000.00,391845.00
6000000.00,391942.00
13000000.00,399198.00
6000000.00,408159.00
7000000.00,411874.00
8000000.00,414617.00
5800000.00,421021.00
8000000.00,433732.00
6000000.00,437089.00
5300000.00,440821.00
8000000.00,446438.00
8000000.00,456814.00
9900000.00,458054.00
8000000.00,458232.00
9000000.00,461581.00
7000000.00,463039.00
40000000.00,463730.00
20000000.00,476624.00
12000000.00,477693.00
7000000.00,492108.00
13000000.00,509193.00
6000000.00,509424.00
65000000.00,516279.00
15500000.00,517262.00
8000000.00,524747.00
15000000.00,528731.00
15000000.00,529766.00
8000000.00,531139.00
7000000.00,531222.00
5600000.00,531806.00
14200000.00,543306.00
7500000.00,555335.00
12000000.00,557545.00
10000000.00,575371.00
8000000.00,589308.00
8000000.00,590817.00
21000000.00,606162.00
10000000.00,611032.00
12000000.00,622273.00
17000000.00,623088.00
14000000.00,623292.00
38000000.00,623374.00
8800000.00,624747.00
18000000.00,627422.00
10000000.00,630427.00
35000000.00,630779.00
